Date,Month,Maximum,Minimum,Average,Departure,HDD,CDD,Precipitation_raw,Precipitation,Precipitation_trace,NewSnow_raw,NewSnow,NewSnow_trace,SnowDepth_raw,SnowDepth,SnowDepth_trace
2025-07-01,2025-07,79,69,74.0,-1.0,0,9,0.14,0.14,False,0.0,0.0,False,0,0,False
2025-07-02,2025-07,86,66,76.0,0.9,0,11,0.00,0.0,False,0.0,0.0,False,0,0,False
2025-07-03,2025-07,89,66,77.5,2.4,0,13,0.00,0.0,False,0.0,0.0,False,0,0,False
2025-07-04,2025-07,92,69,80.5,5.3,0,16,0.00,0.0,False,0.0,0.0,False,0,0,False
2025-07-05,2025-07,90,69,79.5,4.2,0,15,0.00,0.0,False,0.0,0.0,False,0,0,False
2025-07-06,2025-07,92,70,81.0,5.6,0,16,0.27,0.27,False,0.0,0.0,False,0,0,False
2025-07-07,2025-07,88,73,80.5,5.1,0,16,0.23,0.23,False,0.0,0.0,False,0,0,False
2025-07-08,2025-07,86,72,79.0,3.5,0,14,T,0.0,True,0.0,0.0,False,0,0,False
2025-07-09,2025-07,85,72,78.5,3.0,0,14,0.00,0.0,False,0.0,0.0,False,0,0,False
2025-07-10,2025-07,86,71,78.5,3.0,0,14,0.39,0.39,False,0.0,0.0,False,0,0,False
2025-07-11,2025-07,91,70,80.5,4.9,0,16,0.00,0.0,False,0.0,0.0,False,0,0,False
2025-07-12,2025-07,91,72,81.5,5.9,0,17,0.43,0.43,False,0.0,0.0,False,0,0,False
2025-07-13,2025-07,87,70,78.5,2.9,0,14,0.00,0.0,False,0.0,0.0,False,0,0,False
2025-07-14,2025-07,85,70,77.5,1.9,0,13,0.41,0.41,False,0.0,0.0,False,0,0,False
2025-07-15,2025-07,90,68,79.0,3.4,0,14,0.00,0.0,False,0.0,0.0,False,0,0,False
2025-07-16,2025-07,85,75,80.0,4.4,0,15,0.19,0.19,False,0.0,0.0,False,0,0,False
2025-07-17,2025-07,86,74,80.0,4.4,0,15,0.00,0.0,False,0.0,0.0,False,0,0,False
2025-07-18,2025-07,76,69,72.5,-3.1,0,8,T,0.0,True,0.0,0.0,False,0,0,False
2025-07-19,2025-07,85,66,75.5,0.0,0,11,0.29,0.29,False,0.0,0.0,False,0,0,False
2025-07-20,2025-07,85,71,78.0,2.5,0,13,0.12,0.12,False,0.0,0.0,False,0,0,False
2025-07-21,2025-07,80,66,73.0,-2.5,0,8,0.00,0.0,False,0.0,0.0,False,0,0,False
2025-07-22,2025-07,83,62,72.5,-3.0,0,8,0.00,0.0,False,0.0,0.0,False,0,0,False
2025-07-23,2025-07,88,62,75.0,-0.4,0,10,0.00,0.0,False,0.0,0.0,False,0,0,False
2025-07-24,2025-07,93,67,80.0,4.6,0,15,0.00,0.0,False,0.0,0.0,False,0,0,False
2025-07-25,2025-07,90,74,82.0,6.6,0,17,0.33,0.33,False,0.0,0.0,False,0,0,False
2025-07-26,2025-07,92,71,81.5,6.2,0,17,0.69,0.69,False,0.0,0.0,False,0,0,False
2025-07-27,2025-07,86,73,79.5,4.2,0,15,0.90,0.9,False,0.0,0.0,False,0,0,False
2025-07-28,2025-07,88,73,80.5,5.2,0,16,0.01,0.01,False,0.0,0.0,False,0,0,False
2025-07-29,2025-07,89,73,81.0,5.8,0,16,0.00,0.0,False,0.0,0.0,False,0,0,False
2025-07-30,2025-07,93,72,82.5,7.3,0,18,0.00,0.0,False,0.0,0.0,False,0,0,False
2025-07-31,2025-07,79,63,71.0,-4.2,0,6,0.26,0.26,False,0.0,0.0,False,0,0,False
2025-08-01,2025-08,78,58,68.0,-7.1,0,3,0.00,0.0,False,0.0,0.0,False,0,0,False
2025-08-02,2025-08,78,59,68.5,-6.6,0,4,0.00,0.0,False,0.0,0.0,False,0,0,False
2025-08-03,2025-08,81,58,69.5,-5.5,0,5,0.00,0.0,False,0.0,0.0,False,0,0,False
2025-08-04,2025-08,81,59,70.0,-5.0,0,5,0.00,0.0,False,0.0,0.0,False,0,0,False
2025-08-05,2025-08,86,63,74.5,-0.4,0,10,0.00,0.0,False,0.0,0.0,False,0,0,False
2025-08-06,2025-08,86,69,77.5,2.6,0,13,0.00,0.0,False,0.0,0.0,False,0,0,False
2025-08-07,2025-08,86,67,76.5,1.7,0,12,0.00,0.0,False,0.0,0.0,False,0,0,False
2025-08-08,2025-08,87,67,77.0,2.2,0,12,0.00,0.0,False,0.0,0.0,False,0,0,False
2025-08-09,2025-08,89,67,78.0,3.3,0,13,0.00,0.0,False,0.0,0.0,False,0,0,False
2025-08-10,2025-08,91,66,78.5,3.8,0,14,0.00,0.0,False,0.0,0.0,False,0,0,False
2025-08-11,2025-08,91,67,79.0,4.4,0,14,0.00,0.0,False,0.0,0.0,False,0,0,False
2025-08-12,2025-08,92,71,81.5,7.0,0,17,0.01,0.01,False,0.0,0.0,False,0,0,False
2025-08-13,2025-08,88,71,79.5,5.0,0,15,0.31,0.31,False,0.0,0.0,False,0,0,False
2025-08-14,2025-08,89,68,78.5,4.1,0,14,0.00,0.0,False,0.0,0.0,False,0,0,False
2025-08-15,2025-08,88,69,78.5,4.2,0,14,0.28,0.28,False,0.0,0.0,False,0,0,False
2025-08-16,2025-08,92,70,81.0,6.8,0,16,0.00,0.0,False,0.0,0.0,False,0,0,False
2025-08-17,2025-08,89,71,80.0,5.9,0,15,0.00,0.0,False,0.0,0.0,False,0,0,False
2025-08-18,2025-08,88,65,76.5,2.4,0,12,0.00,0.0,False,0.0,0.0,False,0,0,False
2025-08-19,2025-08,92,65,78.5,4.6,0,14,0.00,0.0,False,0.0,0.0,False,0,0,False
2025-08-20,2025-08,77,69,73.0,-0.8,0,8,T,0.0,True,0.0,0.0,False,0,0,False
2025-08-21,2025-08,77,64,70.5,-3.2,0,6,0.00,0.0,False,0.0,0.0,False,0,0,False
2025-08-22,2025-08,84,62,73.0,-0.6,0,8,0.00,0.0,False,0.0,0.0,False,0,0,False
2025-08-23,2025-08,85,65,75.0,1.5,0,10,0.00,0.0,False,0.0,0.0,False,0,0,False
2025-08-24,2025-08,82,64,73.0,-0.3,0,8,0.00,0.0,False,0.0,0.0,False,0,0,False
2025-08-25,2025-08,77,56,66.5,-6.7,0,2,0.00,0.0,False,0.0,0.0,False,0,0,False
2025-08-26,2025-08,75,53,64.0,-9.0,1,0,0.00,0.0,False,0.0,0.0,False,0,0,False
2025-08-27,2025-08,76,48,62.0,-10.8,3,0,0.00,0.0,False,0.0,0.0,False,0,0,False
2025-08-28,2025-08,72,52,62.0,-10.6,3,0,0.01,0.01,False,0.0,0.0,False,0,0,False
2025-08-29,2025-08,75,54,64.5,-7.9,0,0,0.00,0.0,False,0.0,0.0,False,0,0,False
2025-08-30,2025-08,75,49,62.0,-10.2,3,0,0.00,0.0,False,0.0,0.0,False,0,0,False
2025-08-31,2025-08,80,54,67.0,-5.0,0,2,0.00,0.0,False,0.0,0.0,False,0,0,False
2025-09-01,2025-09,81,55,68.0,-3.8,0,3,0.00,0.0,False,0.0,0.0,False,0,0,False
2025-09-02,2025-09,84,52,68.0,-3.6,0,3,0.00,0.0,False,0.0,0.0,False,0,0,False
2025-09-03,2025-09,85,55,70.0,-1.3,0,5,0.00,0.0,False,0.0,0.0,False,0,0,False
2025-09-04,2025-09,76,54,65.0,-6.0,0,0,0.26,0.26,False,0.0,0.0,False,0,0,False
2025-09-05,2025-09,81,52,66.5,-4.3,0,2,T,0.0,True,0.0,0.0,False,0,0,False
2025-09-06,2025-09,72,52,62.0,-8.5,3,0,T,0.0,True,0.0,0.0,False,0,0,False
2025-09-07,2025-09,72,46,59.0,-11.2,6,0,0.00,0.0,False,0.0,0.0,False,0,0,False
2025-09-08,2025-09,75,46,60.5,-9.4,4,0,0.00,0.0,False,0.0,0.0,False,0,0,False
